entry_id,posting_date,entity,department,account_category,description,vendor_counterparty,amount_usd,payment_terms_days,reconciliation_status
GL-10001,2026-11-24,Group HQ (US),Engineering & R&D,Payroll & Benefits,Engineering Salaries,Gusto Payroll,8104.69,30,RECONCILED
GL-10002,2026-10-07,Group HQ (US),Data Infrastructure,Direct COGS,AWS Cloud Compute & S3,Amazon Web Services,4217.2,60,RECONCILED
GL-10003,2026-10-15,Enterprise Cloud BV,Data Infrastructure,Direct COGS,Stripe Payment Processing,OpenAI Inc,7032.61,30,RECONCILED
GL-10004,2026-03-23,EMEA Logistics Ltd,General & Admin,Gross Revenue,SaaS Platform Subscriptions,National Telecom Operator,4799.73,45,RECONCILED
GL-10005,2026-06-26,Sub-Sahara Telco PLC,Engineering & R&D,Payroll & Benefits,Contract Data Engineers,ADP TotalSource,10798.37,45,RECONCILED
GL-10006,2026-05-31,Sub-Sahara Telco PLC,Data Infrastructure,Gross Revenue,SaaS Platform Subscriptions,Fortune 500 Enterprise Client,17378.42,45,FLAGGED_VARIANCE
GL-10007,2026-04-30,Group HQ (US),Customer Support,Gross Revenue,Professional Advisory Retainer,National Telecom Operator,9066.35,45,RECONCILED
GL-10008,2026-05-17,Group HQ (US),Data Infrastructure,Payroll & Benefits,Contract Data Engineers,Gusto Payroll,4725.52,45,RECONCILED
GL-10009,2026-11-24,Enterprise Cloud BV,General & Admin,Sales & Marketing,Google Search & Ads Campaign,LinkedIn B2B Marketing,8074.42,45,RECONCILED
GL-10010,2026-02-03,Enterprise Cloud BV,Data Infrastructure,Sales & Marketing,LinkedIn B2B Lead Generation,LinkedIn B2B Marketing,5329.26,45,PENDING_AUDIT
GL-10011,2026-11-26,EMEA Logistics Ltd,Sales & Marketing,Gross Revenue,SaaS Platform Subscriptions,National Telecom Operator,19307.81,45,PENDING_AUDIT
GL-10012,2026-07-24,Sub-Sahara Telco PLC,Sales & Marketing,General & Admin,Office Facilities & Coworking,Slack Technologies,4474.06,30,RECONCILED
GL-10013,2026-03-20,Enterprise Cloud BV,Customer Support,Payroll & Benefits,Executive Compensation,Mercer Benefits,25705.43,45,RECONCILED
GL-10014,2026-10-11,Group HQ (US),Engineering & R&D,Payroll & Benefits,Contract Data Engineers,Remote.com Global,9264.49,45,RECONCILED
GL-10015,2026-08-11,Enterprise Cloud BV,Customer Support,Gross Revenue,Professional Advisory Retainer,National Telecom Operator,29297.2,30,RECONCILED
GL-10016,2026-02-24,Sub-Sahara Telco PLC,Data Infrastructure,Payroll & Benefits,Engineering Salaries,Remote.com Global,15268.87,60,PENDING_AUDIT
GL-10017,2026-09-29,Group HQ (US),Data Infrastructure,Direct COGS,AWS Cloud Compute & S3,Amazon Web Services,14021.56,45,RECONCILED
GL-10018,2026-05-04,Group HQ (US),Engineering & R&D,Payroll & Benefits,Engineering Salaries,Gusto Payroll,7976.5,45,PENDING_AUDIT
GL-10019,2026-03-26,Sub-Sahara Telco PLC,Data Infrastructure,Sales & Marketing,LinkedIn B2B Lead Generation,LinkedIn B2B Marketing,7052.16,60,RECONCILED
GL-10020,2026-06-09,EMEA Logistics Ltd,General & Admin,Direct COGS,Third-Party LLM API Credits,Cloudflare CDN,1165.52,30,RECONCILED
GL-10021,2026-01-11,Enterprise Cloud BV,Data Infrastructure,Gross Revenue,SaaS Platform Subscriptions,Fortune 500 Enterprise Client,7651.19,30,RECONCILED
GL-10022,2026-02-06,Enterprise Cloud BV,General & Admin,Payroll & Benefits,Engineering Salaries,Gusto Payroll,14818.55,60,RECONCILED
GL-10023,2026-05-05,EMEA Logistics Ltd,Customer Support,Gross Revenue,SaaS Platform Subscriptions,Fintech Payment Partner,10471.7,45,RECONCILED
GL-10024,2026-01-28,Group HQ (US),Engineering & R&D,Direct COGS,Stripe Payment Processing,Amazon Web Services,2714.65,30,RECONCILED
GL-10025,2026-03-13,EMEA Logistics Ltd,Sales & Marketing,Gross Revenue,SaaS Platform Subscriptions,Fortune 500 Enterprise Client,12470.44,60,RECONCILED
GL-10026,2026-11-30,Group HQ (US),Engineering & R&D,General & Admin,Office Facilities & Coworking,PwC Audit Advisory,4125.66,45,RECONCILED
GL-10027,2026-07-25,Group HQ (US),Sales & Marketing,Direct COGS,Stripe Payment Processing,OpenAI Inc,7934.19,45,RECONCILED
GL-10028,2026-12-23,EMEA Logistics Ltd,Sales & Marketing,Gross Revenue,SaaS Platform Subscriptions,Fortune 500 Enterprise Client,15531.56,60,RECONCILED
GL-10029,2026-06-10,Group HQ (US),Engineering & R&D,Payroll & Benefits,Contract Data Engineers,Gusto Payroll,3926.6,60,RECONCILED
GL-10030,2026-04-06,Group HQ (US),Data Infrastructure,Gross Revenue,SaaS Platform Subscriptions,Fintech Payment Partner,5197.45,60,RECONCILED
GL-10031,2026-11-01,Group HQ (US),Data Infrastructure,Gross Revenue,Professional Advisory Retainer,National Telecom Operator,28367.66,30,RECONCILED
GL-10032,2026-06-10,Enterprise Cloud BV,General & Admin,Direct COGS,Third-Party LLM API Credits,OpenAI Inc,3014.74,30,RECONCILED
GL-10033,2026-11-15,Group HQ (US),Engineering & R&D,Direct COGS,Third-Party LLM API Credits,OpenAI Inc,1228.51,45,PENDING_AUDIT
GL-10034,2026-05-06,Sub-Sahara Telco PLC,General & Admin,Gross Revenue,Professional Advisory Retainer,National Telecom Operator,20291.94,60,RECONCILED
GL-10035,2026-12-08,Sub-Sahara Telco PLC,Engineering & R&D,General & Admin,Office Facilities & Coworking,Baker McKenzie LLP,2961.71,30,RECONCILED
GL-10036,2026-03-21,Sub-Sahara Telco PLC,General & Admin,Payroll & Benefits,Contract Data Engineers,Remote.com Global,5026.98,60,RECONCILED
GL-10037,2026-09-16,EMEA Logistics Ltd,General & Admin,General & Admin,Office Facilities & Coworking,WeWork Management,5037.14,45,RECONCILED
GL-10038,2026-06-20,Enterprise Cloud BV,General & Admin,Gross Revenue,Enterprise Multi-Year License,Fintech Payment Partner,54263.48,30,RECONCILED
GL-10039,2026-12-20,Enterprise Cloud BV,Data Infrastructure,Gross Revenue,Enterprise Multi-Year License,Mid-Market B2B SaaS Client,45085.07,30,RECONCILED
GL-10040,2026-01-21,Sub-Sahara Telco PLC,Sales & Marketing,Payroll & Benefits,Contract Data Engineers,ADP TotalSource,6152.59,60,PENDING_AUDIT
GL-10041,2026-07-28,Enterprise Cloud BV,Sales & Marketing,Sales & Marketing,Google Search & Ads Campaign,Meta Business,1698.29,60,PENDING_AUDIT
GL-10042,2026-07-30,Enterprise Cloud BV,General & Admin,Gross Revenue,Professional Advisory Retainer,Fortune 500 Enterprise Client,14563.54,30,RECONCILED
GL-10043,2026-04-24,Enterprise Cloud BV,Customer Support,Direct COGS,AWS Cloud Compute & S3,Stripe Inc,1526.57,30,RECONCILED
GL-10044,2026-05-23,Group HQ (US),General & Admin,Direct COGS,Third-Party LLM API Credits,Cloudflare CDN,4237.35,60,RECONCILED
GL-10045,2026-01-15,Group HQ (US),General & Admin,Gross Revenue,Enterprise Multi-Year License,Fortune 500 Enterprise Client,22588.18,45,RECONCILED
GL-10046,2026-06-10,EMEA Logistics Ltd,Data Infrastructure,General & Admin,Office Facilities & Coworking,Salesforce Inc,6098.02,30,RECONCILED
GL-10047,2026-12-29,EMEA Logistics Ltd,Engineering & R&D,Direct COGS,Third-Party LLM API Credits,Stripe Inc,2503.22,30,PENDING_AUDIT
GL-10048,2026-06-19,Sub-Sahara Telco PLC,Engineering & R&D,Payroll & Benefits,Executive Compensation,Remote.com Global,27338.54,45,RECONCILED
GL-10049,2026-06-01,Enterprise Cloud BV,Sales & Marketing,Direct COGS,Stripe Payment Processing,Stripe Inc,5539.46,45,RECONCILED
GL-10050,2026-01-01,Sub-Sahara Telco PLC,General & Admin,Gross Revenue,Professional Advisory Retainer,National Telecom Operator,16624.7,45,RECONCILED
GL-10051,2026-09-19,EMEA Logistics Ltd,Sales & Marketing,Payroll & Benefits,Executive Compensation,Remote.com Global,14147.91,30,RECONCILED
GL-10052,2026-04-26,Enterprise Cloud BV,Sales & Marketing,Gross Revenue,SaaS Platform Subscriptions,Fintech Payment Partner,16253.66,30,RECONCILED
GL-10053,2026-11-19,Enterprise Cloud BV,Customer Support,Direct COGS,AWS Cloud Compute & S3,Stripe Inc,10253.6,30,PENDING_AUDIT
GL-10054,2026-02-24,EMEA Logistics Ltd,Sales & Marketing,Gross Revenue,Professional Advisory Retainer,Fintech Payment Partner,6255.46,30,PENDING_AUDIT
GL-10055,2026-03-04,EMEA Logistics Ltd,Sales & Marketing,Sales & Marketing,Global SaaS Summit Booth,HubSpot Marketing,24000.79,45,RECONCILED
GL-10056,2026-09-16,EMEA Logistics Ltd,Data Infrastructure,Direct COGS,AWS Cloud Compute & S3,Cloudflare CDN,7410.96,30,RECONCILED
GL-10057,2026-05-22,EMEA Logistics Ltd,Sales & Marketing,Gross Revenue,SaaS Platform Subscriptions,National Telecom Operator,7776.11,45,RECONCILED
GL-10058,2026-10-04,Group HQ (US),Sales & Marketing,Gross Revenue,Enterprise Multi-Year License,Mid-Market B2B SaaS Client,64449.34,30,RECONCILED
GL-10059,2026-06-19,EMEA Logistics Ltd,Customer Support,Gross Revenue,Enterprise Multi-Year License,Fintech Payment Partner,78338.69,60,PENDING_AUDIT
GL-10060,2026-01-11,EMEA Logistics Ltd,Customer Support,Gross Revenue,Enterprise Multi-Year License,National Telecom Operator,67743.26,45,RECONCILED
GL-10061,2026-10-07,Enterprise Cloud BV,Customer Support,Gross Revenue,Enterprise Multi-Year License,Fintech Payment Partner,17031.74,45,RECONCILED
GL-10062,2026-07-27,Enterprise Cloud BV,Customer Support,General & Admin,Software Subscriptions (Slack/GitHub),Slack Technologies,456.63,45,RECONCILED
GL-10063,2026-12-06,Group HQ (US),Engineering & R&D,Payroll & Benefits,Engineering Salaries,Mercer Benefits,8589.88,45,RECONCILED
GL-10064,2026-04-19,EMEA Logistics Ltd,General & Admin,Direct COGS,Stripe Payment Processing,OpenAI Inc,6590.48,45,RECONCILED
GL-10065,2026-02-11,EMEA Logistics Ltd,Engineering & R&D,Payroll & Benefits,Engineering Salaries,Remote.com Global,9078.55,30,RECONCILED
GL-10066,2026-11-30,Group HQ (US),Engineering & R&D,General & Admin,Office Facilities & Coworking,WeWork Management,4985.34,30,RECONCILED
GL-10067,2026-12-09,Group HQ (US),Data Infrastructure,General & Admin,Audit & Corporate Legal Retainers,Baker McKenzie LLP,9668.98,30,RECONCILED
GL-10068,2026-02-28,Enterprise Cloud BV,General & Admin,Gross Revenue,SaaS Platform Subscriptions,National Telecom Operator,15455.43,45,RECONCILED
GL-10069,2026-04-12,Group HQ (US),Data Infrastructure,Payroll & Benefits,Contract Data Engineers,Gusto Payroll,4264.26,45,RECONCILED
GL-10070,2026-11-04,Group HQ (US),Data Infrastructure,Sales & Marketing,LinkedIn B2B Lead Generation,Meta Business,5367.58,30,RECONCILED
GL-10071,2026-06-24,Group HQ (US),Customer Support,Sales & Marketing,Google Search & Ads Campaign,Meta Business,9186.3,60,PENDING_AUDIT
GL-10072,2026-08-24,Enterprise Cloud BV,Customer Support,Gross Revenue,Professional Advisory Retainer,National Telecom Operator,20397.81,60,RECONCILED
GL-10073,2026-08-27,EMEA Logistics Ltd,Data Infrastructure,Gross Revenue,SaaS Platform Subscriptions,Fortune 500 Enterprise Client,8775.89,45,RECONCILED
GL-10074,2026-08-26,EMEA Logistics Ltd,General & Admin,Gross Revenue,Enterprise Multi-Year License,Mid-Market B2B SaaS Client,49128.5,45,RECONCILED
GL-10075,2026-06-24,Sub-Sahara Telco PLC,Data Infrastructure,Payroll & Benefits,Executive Compensation,ADP TotalSource,23882.43,30,RECONCILED
GL-10076,2026-07-28,EMEA Logistics Ltd,Data Infrastructure,Sales & Marketing,Global SaaS Summit Booth,Meta Business,17918.06,45,RECONCILED
GL-10077,2026-01-09,Group HQ (US),General & Admin,Gross Revenue,Professional Advisory Retainer,Mid-Market B2B SaaS Client,12655.15,60,RECONCILED
GL-10078,2026-10-11,Sub-Sahara Telco PLC,Customer Support,General & Admin,Software Subscriptions (Slack/GitHub),Baker McKenzie LLP,1138.8,45,RECONCILED
GL-10079,2026-05-09,Enterprise Cloud BV,Engineering & R&D,Payroll & Benefits,Executive Compensation,ADP TotalSource,29086.26,60,RECONCILED
GL-10080,2026-04-21,EMEA Logistics Ltd,General & Admin,Payroll & Benefits,Contract Data Engineers,Remote.com Global,10853.83,30,RECONCILED
GL-10081,2026-07-04,Enterprise Cloud BV,General & Admin,Gross Revenue,Professional Advisory Retainer,Mid-Market B2B SaaS Client,11857.78,30,RECONCILED
GL-10082,2026-12-24,Enterprise Cloud BV,Customer Support,Gross Revenue,SaaS Platform Subscriptions,National Telecom Operator,13061.43,45,RECONCILED
